City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,hasaki,35.7333,140.8333,17.3,75,44,8.35,JP,1682704800
278,quellon,-43.1167,-73.6167,15.14,94,75,10.75,CL,1682704800
279,shubarkuduk,49.1447,56.4872,18.42,43,1,3.65,KZ,1682704800
280,usinsk,65.9939,57.5281,-4.99,90,100,3.85,RU,1682704800
281,kingston,17.997,-76.7936,31.64,70,35,3.66,JM,1682704800
282,kaoma,-14.7833,24.8,18.05,53,50,1.5,ZM,1682704800
283,asahi,35.7167,140.65,16.79,74,37,6.55,JP,1682704800
284,erenhot,43.6475,111.9767,5.23,29,54,3.36,CN,1682704800
285,avanigadda,16.0215,80.9181,28.64,76,42,3.03,IN,1682704800
286,mao,39.8885,4.2658,22.31,56,0,4.59,ES,1682704800
287,luderitz,-26.6481,15.1594,16.72,73,7,8.68,NA,1682704800
288,saint-philippe,-21.3585,55.7679,24.75,74,41,4.43,RE,1682704800
289,alice springs,-23.7,133.8833,17.45,55,75,5.63,AU,1682704800
290,nyala,12.05,24.8833,30.82,14,92,3.08,SD,1682704800
291,haiku-pauwela,20.9219,-156.3051,22.56,90,20,0.78,US,1682704800
292,jayapura,-2.5333,140.7,25.66,90,99,0.18,ID,1682704800
293,usogorsk,63.4106,48.6872,-0.9,81,43,3.37,RU,1682704800
294,adam,22.3756,57.5233,30.07,12,0,5.1,OM,1682704800
295,las palmas,28.4204,-14.0131,22.04,73,0,3.43,ES,1682704800
296,caidian,30.5833,114.0333,18.07,30,100,7.25,CN,1682704800
297,dudinka,69.4058,86.1778,-8.58,95,56,4.87,RU,1682704800
298,sitka,57.0531,-135.33,5.94,87,100,1.75,US,1682704800
299,pacific grove,36.6177,-121.9166,15.46,87,75,2.57,US,1682704800
300,segre,47.6833,-0.8667,20.03,90,100,3.67,FR,1682704800
301,shizuoka,34.9769,138.3831,12.65,78,16,1.78,JP,1682704800
302,bilajer,40.5681,50.0378,18.29,88,0,5.8,AZ,1682704800
303,kailua-kona,19.6406,-155.9956,23.81,85,40,2.65,US,1682704800
304,kalemie,-5.9475,29.1947,22.47,82,20,1.71,CD,1682704800
305,otofuke,42.9917,143.2003,4.81,75,96,0.89,JP,1682704800
306,kuta,-8.7233,115.1723,27.78,83,40,5.51,ID,1682704800
307,plettenberg bay,-34.0527,23.3716,16.68,77,64,2.02,ZA,1682704800
308,crane,31.3974,-102.3501,22.63,30,2,9.99,US,1682704800
309,kanggye,40.9695,126.5852,9.81,65,100,1.51,KP,1682704800
310,bentota,6.4254,79.9948,26.23,86,99,2.06,LK,1682704800
311,dazhou,31.2159,107.5009,14.13,82,100,0.37,CN,1682704800
312,salo,45.6086,10.531,21.57,76,74,0.78,IT,1682704800
313,bandarbeyla,9.4942,50.8122,28.93,78,100,6.71,SO,1682704800
314,tari,12.4086,4.4914,36.41,25,100,3.11,NG,1682704800
315,pyhajarvi,67.0701,27.2176,-0.15,90,100,5.3,FI,1682704800
316,pedernales,18.0384,-71.744,28.18,69,36,2.5,DO,1682704800
317,prado,-17.3411,-39.2208,27.32,73,1,3.73,BR,1682704800
318,khowai,24.1,91.6333,25.41,71,82,2.24,IN,1682704800
319,strathmore,51.0501,-113.3852,13.3,33,95,3.07,CA,1682704800
320,khash,28.2211,61.2158,18.45,50,91,1.54,IR,1682704800
321,anadyr,64.75,177.4833,-14.72,78,0,4.74,RU,1682704800
322,sao vicente,-23.9631,-46.3919,24.05,54,100,2.26,BR,1682704800
323,khovd,48.0056,91.6419,8.4,32,47,1.12,MN,1682704800
324,kondopoga,62.2057,34.2614,4.82,96,100,3.16,RU,1682704800
325,salinas,36.6777,-121.6555,24.35,84,75,2.19,US,1682704800
326,toamasina,-18.1667,49.3833,25.0,78,40,4.64,MG,1682704800
327,malabar,-33.9667,151.25,19.65,74,0,4.17,AU,1682704800
328,verkhnevilyuysk,63.4453,120.3167,-1.2,94,98,2.16,RU,1682704800
329,lishui,28.4604,119.9103,20.25,99,100,0.55,CN,1682704800
330,acapulco de juarez,16.8634,-99.8901,29.9,58,20,4.1,MX,1682704800
331,novaya igirma,57.1334,103.9112,1.52,98,98,1.95,RU,1682704800
332,gyongyos,47.7826,19.928,10.05,75,86,2.07,HU,1682704800
333,west valley,46.5921,-120.6051,20.62,48,0,1.57,US,1682704800
334,kourou,5.1552,-52.6478,30.03,70,79,3.6,GF,1682704800
335,sona,45.4388,10.8255,20.27,43,0,1.29,IT,1682704800
336,ulanhot,46.0833,122.0833,6.22,26,78,2.88,CN,1682704800
337,mangrol,21.1167,70.1167,26.95,80,44,5.22,IN,1682704800
338,soto la marina,23.7667,-98.2167,33.13,47,21,4.36,MX,1682704800
339,peace river,56.2501,-117.286,13.4,28,75,1.64,CA,1682704800
340,hafar al-batin,28.4328,45.9708,34.32,24,40,4.85,SA,1682704800
341,fougamou,-1.2154,10.5838,24.43,94,99,1.31,GA,1682704800
342,cabo san lucas,22.8909,-109.9124,24.31,38,0,3.99,MX,1682704800
343,bontang,0.1333,117.5,26.59,85,89,4.27,ID,1682704800
344,gaiman,-43.2897,-65.4929,18.34,56,100,9.64,AR,1682704800
345,roxas,11.5853,122.7511,27.3,82,15,3.92,PH,1682704800
346,tidjikja,18.5564,-11.4271,37.74,7,0,4.71,MR,1682704800
347,hami,42.8,93.45,14.65,14,25,1.94,CN,1682704800
348,varena,54.2167,24.5667,5.36,64,62,0.97,LT,1682704800
349,swan hill,-35.3378,143.5544,11.11,68,98,2.92,AU,1682704800
350,woodward,36.4337,-99.3904,8.38,100,100,7.96,US,1682704800
351,mongoumba,3.6415,18.5936,26.67,60,94,1.35,CF,1682704800
352,waingapu,-9.6567,120.2641,25.46,90,62,2.97,ID,1682704800
353,upington,-28.4478,21.2561,27.21,19,0,3.95,ZA,1682704800
354,cururupu,-1.8283,-44.8683,28.72,76,62,1.18,BR,1682704800
355,queenstown,-31.8976,26.8753,13.85,48,56,0.88,ZA,1682704800
356,kundiawa,-6.0167,144.9667,17.19,98,100,0.26,PG,1682704800
357,winkler,49.1817,-97.941,7.06,76,96,3.48,CA,1682704800
358,belmonte,-15.8631,-38.8828,28.36,71,13,4.14,BR,1682704800
359,kenai,60.5544,-151.2583,2.99,86,100,1.9,US,1682704800
360,tamandare,-8.7597,-35.1047,28.67,65,52,3.54,BR,1682704800
361,castillos,-34.1667,-53.8333,23.81,50,0,2.13,UY,1682704800
362,chongwe,-15.3292,28.682,17.27,60,77,1.96,ZM,1682704800
363,guarapari,-20.6667,-40.4975,24.73,83,39,2.84,BR,1682704800
364,newman,37.3138,-121.0208,26.59,44,0,1.55,US,1682704800
365,carnarvon,-24.8667,113.6333,22.76,41,95,9.54,AU,1682704800
